mcule_id	smiles	insoluble
M1114794	COC1=CC(=CC(OC)=C1OC)C(=O)NC1=C(C=CS1)C#N	0
M1051492	CC1=CC(=O)NC(SCC(=O)C2=CC=CC=C2)=N1	0
M760653	NC1=NC=C(C(=N1)N1CCCC1)[N+]([O-])=O	0
M760662	Cl.CC(C)(C)C1CCC(CC1)OCC(O)CN1CCCC1	0
M765542	OC1(CC=NN1C(=O)C1=CC=NC=C1)C(F)(F)F	0
M1051493	COC(=O)C1=CC=C(OC2=COC3=C(C=CC(O)=C3)C2=O)C=C1	0
M1051494	ClC1=CC=C(C=C(C#N)C2=NC3=C(CCCC3)S2)C=C1	0
M1114795	COC1=CC=C(C=C1)N1C(=O)C2C(OC3(C2C1=O)C(=O)C1=CC=CC=C1C3=O)C1=CC=C(C)C=C1	0
M21411	NC1=NC=NC(NC2=CC=CC=C2)=N1	0
M760719	O=C1CSC(N1CC1=CC=CC=C1)C1=NN(C=C1C1=CC2=C(OC1=O)C=CC=C2)C1=CC=CC=C1	0
M1114796	Cl.Cl.CC(C)C1=CC=C(OCC(O)CN2CCN(CC2)C2=CC=CC=C2)C=C1	0
M760738	CC1=CC(C=C2C(=O)CCCC2=O)=C(C)N1C1=CC=CC=C1	0
M1051495	CC1=CC(C=C2C(=O)NC(=S)NC2=O)=C(C)N1C1=CC=C(F)C=C1	0
M1051496	CC1=CC(C=C2C(=O)NC(=S)NC2=O)=C(C)N1C1=CC=CC=C1C(F)(F)F	0
M1114797	CC1=CC(C=C2C(=O)OC(C)(C)OC2=O)=C(C)N1C1=CC=C(F)C=C1	0
M765451	CCOC(=O)C1=C(C2=CSC(C)=N2)C(=O)C2=C(O1)C=C(O)C=C2	0
M1114798	CC1=NN(C(C)=C1OC1=CC=CC=C1O)C1=CC=C(C=C1)[N+]([O-])=O	1
M1114799	ClC1=CC=C(NC(=O)N2CCCC3=CC(SC#N)=CC=C23)C=C1	0
M1051497	CC1=CC=C(C=C1F)C(NC(=O)N1CCCCCC1)C(Cl)(Cl)Cl	0
M1114800	COC1=CC=C(NC(=O)NC(C2=CC=C(C)C(F)=C2)C(Cl)(Cl)Cl)C=C1	0
M1114801	COC1=CC(C=C(C#N)C2=NN=C3CCCCCN23)=CC=C1O	0
M760812	CCCCN(CCCC)C1=NC(N)=NC=C1[N+]([O-])=O	0
M1051498	COC1=CC(=CC=C1O)C1NC(=O)NC(O)(C1C(=O)C1=CC=CC=C1)C(F)(F)F	0
M1051499	COC1=CC(C=C(C#N)C2=NC3=C(CCCC3)S2)=CC=C1O	0
M1051500	OC1(NC(=O)NC(C1C(=O)C1=CC=CC=C1)C1=CC=C(Br)C=C1)C(F)(F)F	0
M760821	O=C(NC1=CC(NC(=O)C23CCC(CC2)C3)=CC=C1)C12CCC(CC1)C2	0
M1114802	COCCN(CCOC)C(=O)COC1=CC=CC=C1	0
M1114803	CN(C)C1=CC=C(C=C2N=C(OC2=O)C2=CC=C(F)C=C2)C=C1	1
M760859	COC1=CC(=CC(OC)=C1)C(=O)C1=C(C)C(C(=O)C(F)(F)F)=C2C=CC=CN12	0
M1114804	Br.OC1=CC=C(C=C(C#N)C2=NN=C3CCCCCN23)C=C1	0
M1114805	CN1C(=O)N(C)C2=C(C(C3=C(N2)C2=CC=CC=C2C3=O)C2=CC=C(Cl)C=C2)C1=O	1
M1051501	CC1=NC2=C(C=CC=C2)C(=O)N1C1=CC=C(C)C(Cl)=C1	0
M1051502	BrC1=CC=C(C=C2CCC(C(=O)NC3=CC=CC=C3)=C2N2CCOCC2)C=C1	0
M1051503	CCOC(=O)C1=C(NC(=O)C2=CC=C(C=C2)[N+]([O-])=O)N(CCOC)C2=NC3=C(C=CC=C3)N=C12	0
M760919	NC1=C(C#N)C2=NC3=C(C=CC=C3)N=C2N1C1=CC=CC=C1Cl	0
M1051504	COC1=CC(C=C2CN(C)CC(=CC3=CC(OC)=C(OC)C(OC)=C3)C2=O)=CC(OC)=C1OC	0
M1051505	CC(N1C(=O)C2=CC=CC=C2C1=O)C(=O)N1CCN(C)CC1	0
M1051506	CCOC1=CC=C(NC(=O)COC2=CC=CC(OC)=C2)C(=C1)[N+]([O-])=O	0
M760955	CC1=C(N2C=CC=CC2=C1C(=O)C(F)(F)F)C(=O)C1=CC=CC=C1	0
